DATASET	N_CONFS	ISOMERIC_SMILES	NONISOMERIC_SMILES
spice-pubchem	34	CC1=NC(=C(O1)c2ccc(c(c2)N)S(=O)(=O)N)C3CCCCC3	CC1=NC(=C(O1)c2ccc(c(c2)N)S(=O)(=O)N)C3CCCCC3
spice-pubchem	49	c1ccc(cc1)C2=CC(C(C(=S)N2)C#N)c3ccc(cc3)F	c1ccc(cc1)C2=CC(C(C(=S)N2)C#N)c3ccc(cc3)F
spice-pubchem	50	CC1=CC=C(O1)CC/C=C/C=C	CC1=CC=C(O1)CCC=CC=C
spice-pubchem	50	c1ccc(cc1)N(C(=O)N)C(F)(F)F	c1ccc(cc1)N(C(=O)N)C(F)(F)F
spice-pubchem	34	c1cc(ccc1C[C@H](C(=O)N2CCN(CC2)C3=CC=NC4=CC=NN43)N)Cl	c1cc(ccc1CC(C(=O)N2CCN(CC2)C3=CC=NC4=CC=NN43)N)Cl
spice-pubchem	40	CN1C=C(C(=N1)C(=O)OC)NC(=O)C23CC4CC(C2)CC(C4)C3	CN1C=C(C(=N1)C(=O)OC)NC(=O)C23CC4CC(C2)CC(C4)C3
spice-pubchem	47	c1cc(ncc1S(=O)(=O)N2[C@@H]3CC4=NNC=C4[C@H]2C5=C3SC=N5)C(F)(F)F	c1cc(ncc1S(=O)(=O)N2C3CC4=NNC=C4C2C5=C3SC=N5)C(F)(F)F
spice-pubchem	50	C1[C@@H]([C@H](CC2=C1C(=O)C=C(C(=O)N2)O)Cl)Cl	C1C(C(CC2=C1C(=O)C=C(C(=O)N2)O)Cl)Cl
spice-pubchem	39	CCOCCCNC(=O)CN1C(=O)c2c(cc(nc2S1)C)C	CCOCCCNC(=O)CN1C(=O)c2c(cc(nc2S1)C)C
spice-pubchem	50	c1cc(ccc1C(=O)O)N(C(F)(F)F)SC(F)(Cl)Cl	c1cc(ccc1C(=O)O)N(C(F)(F)F)SC(F)(Cl)Cl
spice-pubchem	46	CN1C(=CN=C1[N+](=O)[O-])/C=N/N2CCC(CC2)N(C)C	CN1C(=CN=C1[N+](=O)[O-])C=NN2CCC(CC2)N(C)C
spice-pubchem	50	COC(C(C(=O)C(C(OC)(F)F)(F)F)(F)F)(F)F	COC(C(C(=O)C(C(OC)(F)F)(F)F)(F)F)(F)F
spice-pubchem	49	C1C(C1C2=CN3C=CC=C(C3=N2)F)C4=CN5C=CC=C(C5=N4)F	C1C(C1C2=CN3C=CC=C(C3=N2)F)C4=CN5C=CC=C(C5=N4)F
spice-pubchem	38	c1cc(c(c(c1)F)c2ccncc2CNC(C#N)c3cc(cc(c3)C(F)(F)F)C(F)(F)F)F	c1cc(c(c(c1)F)c2ccncc2CNC(C#N)c3cc(cc(c3)C(F)(F)F)C(F)(F)F)F
spice-pubchem	50	C1CC2CC1CC2N=C=S	C1CC2CC1CC2N=C=S
spice-pubchem	50	CC(C)(C)N1C(=O)NNC1=O	CC(C)(C)N1C(=O)NNC1=O
spice-pubchem	50	CC(C)C1=CCC(=CC1)CCOC=O	CC(C)C1=CCC(=CC1)CCOC=O
spice-pubchem	50	CC(C)(/C=C/CC(=C)C=C)OO	CC(C)(C=CCC(=C)C=C)OO
spice-pubchem	50	c1ccc(c(c1)C2=CC=NC3=NN=NN23)O	c1ccc(c(c1)C2=CC=NC3=NN=NN23)O
spice-pubchem	42	CCN1C(=C(C(=O)N1c2ccccc2)c3ccccc3)NS(=O)(=O)C	CCN1C(=C(C(=O)N1c2ccccc2)c3ccccc3)NS(=O)(=O)C
spice-pubchem	50	CC#CC1=CC=C(SS1)C#CC#CC2CO2	CC#CC1=CC=C(SS1)C#CC#CC2CO2
spice-pubchem	50	CCCCC1=C(N=NN1C)CN(C)CC#C	CCCCC1=C(N=NN1C)CN(C)CC#C
spice-pubchem	50	CCC[C@@H]1CNC(=O)[C@@H]1N	CCCC1CNC(=O)C1N
spice-pubchem	34	CN1c2c(ccc3c2ncnc3NC4CN(C4)c5cc(ncc5Cl)OC)N=N1	CN1c2c(ccc3c2ncnc3NC4CN(C4)c5cc(ncc5Cl)OC)N=N1
