DATASET	N_CONFS	ISOMERIC_SMILES	NONISOMERIC_SMILES
spice-des-monomers	50	C(COC=O)OC=O	C(COC=O)OC=O
spice-des-monomers	50	CSCCCO	CSCCCO
spice-des-monomers	50	C(COC=O)C(=O)N	C(COC=O)C(=O)N
spice-des-monomers	50	CCBr	CCBr
spice-des-monomers	50	C(CNC=O)C(=O)N	C(CNC=O)C(=O)N
spice-des-monomers	50	C[N+](C)(C)C	C[N+](C)(C)C
spice-des-monomers	50	COP(=O)(OC)OC	COP(=O)(OC)OC
spice-des-monomers	50	C1=CNC(=O)NC1=O	C1=CNC(=O)NC1=O
spice-des-monomers	50	SS	SS
spice-des-monomers	50	C(CS)NC=O	C(CS)NC=O
spice-des-monomers	50	C1CSCCS1	C1CSCCS1
spice-des-monomers	50	C(CNC=O)N	C(CNC=O)N
spice-des-monomers	50	C(CN)CO	C(CN)CO
spice-des-monomers	50	C[NH3+]	C[NH3+]
spice-des-monomers	50	C(CO)CS	C(CO)CS
spice-des-monomers	50	CCC(C)(C)C	CCC(C)(C)C
spice-des-monomers	50	CCC(=O)N(C)C	CCC(=O)N(C)C
spice-des-monomers	50	CCCNC	CCCNC
spice-des-monomers	50	C(C(=O)O)C(=O)O	C(C(=O)O)C(=O)O
spice-des-monomers	50	C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl	C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl
spice-des-monomers	50	CCC(Cl)Cl	CCC(Cl)Cl
spice-des-monomers	50	CNCCCNC	CNCCCNC
spice-des-monomers	50	CCCC(Cl)Cl	CCCC(Cl)Cl
spice-des-monomers	50	CCC(=O)O	CCC(=O)O
spice-des-monomers	50	CCCC#C	CCCC#C
spice-des-monomers	50	CCOP(=O)(O)OC	CCOP(=O)(O)OC
spice-des-monomers	50	CC(Cl)Cl	CC(Cl)Cl
spice-des-monomers	50	CCC(=O)OCC	CCC(=O)OCC
spice-des-monomers	50	CNC(=O)CO	CNC(=O)CO
spice-des-monomers	50	c1ccc(cc1)Br	c1ccc(cc1)Br
spice-des-monomers	50	CCN(C)CC	CCN(C)CC
spice-des-monomers	50	CNCCO	CNCCO
spice-des-monomers	50	CCN(C)C(=O)C	CCN(C)C(=O)C
spice-des-monomers	50	CC(C)O	CC(C)O
spice-des-monomers	50	CNC(=[NH2+])N	CNC(=[NH2+])N
spice-des-monomers	50	COCS	COCS
spice-des-monomers	50	CN	CN
spice-des-monomers	50	c1cc(cc(c1)F)F	c1cc(cc(c1)F)F
spice-des-monomers	50	CC(C)C	CC(C)C
spice-des-monomers	50	CCCS	CCCS
spice-des-monomers	50	C1CCOCC1	C1CCOCC1
spice-des-monomers	50	CCCO	CCCO
spice-des-monomers	50	COCCS	COCCS
spice-des-monomers	50	C(CN)CN	C(CN)CN
spice-des-monomers	50	c1cc(ccc1Cl)Cl	c1cc(ccc1Cl)Cl
spice-des-monomers	50	COCCNC=O	COCCNC=O
spice-des-monomers	50	CC1=CNC=N1	CC1=CNC=N1
spice-des-monomers	50	CSCS	CSCS
spice-des-monomers	50	COCCC(=O)O	COCCC(=O)O
spice-des-monomers	50	c1cncnc1	c1cncnc1
spice-des-monomers	50	CCS	CCS
spice-des-monomers	50	CNC(=O)COC	CNC(=O)COC
spice-des-monomers	50	CSCCO	CSCCO
spice-des-monomers	50	C(OC=O)OC=O	C(OC=O)OC=O
spice-des-monomers	50	CSCCCOC=O	CSCCCOC=O
spice-des-monomers	50	CSCCC(=O)O	CSCCC(=O)O
spice-des-monomers	50	CNCOC=O	CNCOC=O
spice-des-monomers	50	CNCCOC=O	CNCCOC=O
spice-des-monomers	50	CNC(=O)CCNC=O	CNC(=O)CCNC=O
spice-des-monomers	50	C1CCSSC1	C1CCSSC1
spice-des-monomers	45	COP(=O)([O-])OP(=O)(O)O	COP(=O)([O-])OP(=O)(O)O
spice-des-monomers	50	CN(C)C=O	CN(C)C=O
spice-des-monomers	50	CCC(=C)C	CCC(=C)C
spice-des-monomers	50	C(F)F	C(F)F
spice-des-monomers	50	C(CS)OC=O	C(CS)OC=O
spice-des-monomers	50	c1ccc(c(c1)F)F	c1ccc(c(c1)F)F
spice-des-monomers	50	CCC	CCC
spice-des-monomers	50	C(CO)N	C(CO)N
spice-des-monomers	50	COCN	COCN
spice-des-monomers	50	C(CN)COC=O	C(CN)COC=O
spice-des-monomers	50	C(O)OC=O	C(O)OC=O
spice-des-monomers	50	C(CO)NC=O	C(CO)NC=O
spice-des-monomers	50	CCC(=O)CC	CCC(=O)CC
spice-des-monomers	50	C(C(=O)N)S	C(C(=O)N)S
