DATASET	N_CONFS	ISOMERIC_SMILES	NONISOMERIC_SMILES
pepconf-dlc	439	CC(=O)N[C@@H](CC1=CNc2c1cccc2)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CCC(=O)N)C(=O)N	CC(=O)NC(CC1=CNc2c1cccc2)C(=O)NC(CCSC)C(=O)NC(CCC(=O)N)C(=O)N
pepconf-dlc	651	CC(C)C[C@@H](C(=O)N[C@@H](CC1=CNc2c1cccc2)C(=O)N)NC(=O)[C@H](CC3=CNc4c3cccc4)NC(=O)C	CC(C)CC(C(=O)NC(CC1=CNc2c1cccc2)C(=O)N)NC(=O)C(CC3=CNc4c3cccc4)NC(=O)C
pepconf-dlc	98	C[C@@H](C(=O)N[C@@H](CSSC[C@@H](C(=O)N[C@@H](CO)C(=O)N)NC(=O)CNC(=O)C)C(=O)N[C@@H](CCCNC(=[NH2+])N)C(=O)N)NC(=O)C	CC(C(=O)NC(CSSCC(C(=O)NC(CO)C(=O)N)NC(=O)CNC(=O)C)C(=O)NC(CCCNC(=[NH2+])N)C(=O)N)NC(=O)C
pepconf-dlc	204	CC(=O)N[C@@H](CCSC)C(=O)N[C@@H](Cc1ccc(cc1)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N	CC(=O)NC(CCSC)C(=O)NC(Cc1ccc(cc1)O)C(=O)NC(CCC(=O)O)C(=O)N
pepconf-dlc	224	CC(=O)N[C@@H](CC1=CNC=N1)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N	CC(=O)NC(CC1=CNC=N1)C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)O)C(=O)N
pepconf-dlc	43	CC(=O)N[C@@H](CS)C(=O)N[C@@H](CS)C(=O)N	CC(=O)NC(CS)C(=O)NC(CS)C(=O)N
pepconf-dlc	351	CC(=O)N1CCC[C@H]1C(=O)N[C@@H](CC2=CNc3c2cccc3)C(=O)N[C@@H](Cc4ccc(cc4)O)C(=O)N	CC(=O)N1CCCC1C(=O)NC(CC2=CNc3c2cccc3)C(=O)NC(Cc4ccc(cc4)O)C(=O)N
pepconf-dlc	644	CC(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CC1=CNc2c1cccc2)C(=O)N[C@@H](CCC(=O)O)C(=O)N	CC(=O)NC(CCC(=O)N)C(=O)NC(CC1=CNc2c1cccc2)C(=O)NC(CCC(=O)O)C(=O)N
pepconf-dlc	254	C[C@@H](C(=O)N)NC(=O)[C@H](CSSC[C@@H](C(=O)N[C@@H](CCCNC(=[NH2+])N)C(=O)N)NC(=O)[C@H](Cc1ccc(cc1)O)NC(=O)C)NC(=O)[C@H](CO)NC(=O)C	CC(C(=O)N)NC(=O)C(CSSCC(C(=O)NC(CCCNC(=[NH2+])N)C(=O)N)NC(=O)C(Cc1ccc(cc1)O)NC(=O)C)NC(=O)C(CO)NC(=O)C
pepconf-dlc	879	CC(=O)N[C@@H](CC1=CNc2c1cccc2)C(=O)N[C@@H](Cc3ccc(cc3)O)C(=O)N[C@@H](Cc4ccc(cc4)O)C(=O)N	CC(=O)NC(CC1=CNc2c1cccc2)C(=O)NC(Cc3ccc(cc3)O)C(=O)NC(Cc4ccc(cc4)O)C(=O)N
